survey_row,xlsform_name,xlsform_type,base_type,label_en,choice_list,target_list,target_columns,required_in_app,required_in_sharepoint,relevance,constraint,choice_filter,storage_strategy
36,adaptation,select_multiple adaptation,select_multiple,Adaptation Rationale,adaptation,TACATDP_MultiSelectAnswers,QuestionName;ChoiceValue,yes,no,,,"selected(${technology}, technology)",select_multiple child rows
37,additional,select_multiple additional,select_multiple,Additionality (Mitigation Co- benefit),additional,TACATDP_MultiSelectAnswers,QuestionName;ChoiceValue,yes,no,,,"selected(${technology}, technology)",select_multiple child rows
38,SDGs,select_multiple SDGs,select_multiple,Applicable SDG Alignment,SDGs,TACATDP_MultiSelectAnswers,QuestionName;ChoiceValue,yes,no,,,"selected(${technology}, technology)",select_multiple child rows
42,Uses_Irrigation,select_one Yes_No,select_one,Uses Irrigation?,Yes_No,TACATDP_ResourceEfficiency,Uses_IrrigationValue;Uses_IrrigationLabel,yes,no,,,,select_one stored as text value/label from reference data for delegation and export fidelity
43,Irrigation_Type,select_multiple Irrigation_Type,select_multiple,Irrigation Type,Irrigation_Type,TACATDP_MultiSelectAnswers,QuestionName;ChoiceValue,yes,no,${Uses_Irrigation}='1',,,select_multiple child rows
44,other_Irrigation_Type,text,text,"Please specify the ""other"" Irrigation Type.",,TACATDP_ResourceEfficiency,other_Irrigation_Type,yes,no,"selected(${Irrigation_Type}, '96')",,,scalar input field
45,Water_Source,select_multiple Water_Source,select_multiple,Water Source,Water_Source,TACATDP_MultiSelectAnswers,QuestionName;ChoiceValue,yes,no,,,,select_multiple child rows
46,other_Water_Source,text,text,"Please specify the ""other"" Water_Source.",,TACATDP_ResourceEfficiency,other_Water_Source,yes,no,"selected(${Water_Source}, '96')",,,scalar input field
47,Energy_Source,select_multiple Energy_Source,select_multiple,Current Energy Source Used in Production / Processing,Energy_Source,TACATDP_MultiSelectAnswers,QuestionName;ChoiceValue,yes,no,,,,select_multiple child rows
48,other_Energy_Source,text,text,"Please specify the ""other"" Energy_Source.",,TACATDP_ResourceEfficiency,other_Energy_Source,yes,no,"selected(${Energy_Source}, '96')",,,scalar input field
49,Adopted_Energy,select_multiple Adopted_Energy,select_multiple,Adopted Energy Source Diployed (After) ARA Adoption,Adopted_Energy,TACATDP_MultiSelectAnswers,QuestionName;ChoiceValue,yes,no,,,,select_multiple child rows
50,other_Adopted_Energy,text,text,"Please specify the ""other"" Adopted_Energy.",,TACATDP_ResourceEfficiency,other_Adopted_Energy,yes,no,"selected(${Adopted_Energy}, '96')",,,scalar input field
51,baseline_yield,integer,integer,Baseline Yield (kg/acre),,TACATDP_ResourceEfficiency,baseline_yield,yes,no,,. >= 0,,scalar input field
52,yield_after,integer,integer,Yield After TACATDP ARA Diployment (kg/acre),,TACATDP_ResourceEfficiency,yield_after,yes,no,,. >= ${baseline_yield},,scalar input field
57,farmer_group_member,select_one Yes_No,select_one,Is farmer a member of a Farmer Group?,Yes_No,TACATDP_SocialInclusion,farmer_group_memberValue;farmer_group_memberLabel,yes,no,,,,select_one stored as text value/label from reference data for delegation and export fidelity
58,farmer_group_type,select_one group_type,select_one,Farmer Group Type,group_type,TACATDP_SocialInclusion,farmer_group_typeValue;farmer_group_typeLabel,yes,no,${farmer_group_member}='1',,,select_one stored as text value/label from reference data for delegation and export fidelity
59,male_members,integer,integer,Male Group Members,,TACATDP_SocialInclusion,male_members,yes,no,${farmer_group_member}='1',. >= 0,,scalar input field
60,female_members,integer,integer,Female Group Members,,TACATDP_SocialInclusion,female_members,yes,no,${farmer_group_member}='1',. >= 0,,scalar input field
62,youth_members,integer,integer,Youth (18-35) Group Members,,TACATDP_SocialInclusion,youth_members,yes,no,${farmer_group_member}='1',. >= 1 and . <= ${total_members},,scalar input field
69,hh_male,integer,integer,Number of MALE household members,,TACATDP_SocialInclusion,hh_male,yes,no,,. >= 0,,scalar input field
70,hh_female,integer,integer,Number of FEMALE household members,,TACATDP_SocialInclusion,hh_female,yes,no,,. >= 0,,scalar input field
73,hh_head_gender,select_one Gender,select_one,Head of Household Gender,Gender,TACATDP_SocialInclusion,hh_head_genderValue;hh_head_genderLabel,yes,no,,,,select_one stored as text value/label from reference data for delegation and export fidelity
74,women_decision,select_one Yes_No,select_one,Are women direct decision-makers in ARA investment use?,Yes_No,TACATDP_SocialInclusion,women_decisionValue;women_decisionLabel,yes,no,,,,select_one stored as text value/label from reference data for delegation and export fidelity
78,ara_training,select_one Yes_No,select_one,Did individual or farmer group receive ARA training?,Yes_No,TACATDP_SocialInclusion,ara_trainingValue;ara_trainingLabel,yes,no,,,,select_one stored as text value/label from reference data for delegation and export fidelity
79,training_type,select_multiple training_type,select_multiple,Type of Training Received,training_type,TACATDP_MultiSelectAnswers,QuestionName;ChoiceValue,yes,no,${ara_training}='1',,,select_multiple child rows
80,target_group,select_multiple target_group,select_multiple,Target Groups Covered,target_group,TACATDP_MultiSelectAnswers,QuestionName;ChoiceValue,yes,no,${ara_training}='1',count-selected(.) >= 1,,select_multiple child rows
81,male_trained,integer,integer,Number of MALE farmers trained,,TACATDP_SocialInclusion,male_trained,yes,no,${ara_training}='1',. >= 0,,scalar input field
82,female_trained,integer,integer,Number of FEMALE farmers trained,,TACATDP_SocialInclusion,female_trained,yes,no,${ara_training}='1',. >= 0,,scalar input field
