survey_row,xlsform_name,xlsform_type,base_type,label_en,choice_list,target_list,target_columns,required_in_app,required_in_sharepoint,relevance,constraint,choice_filter,storage_strategy
356,insurance_type,select_one insurance_type,select_one,Insurance Type,insurance_type,TACATDP_InsuranceGuarantee,insurance_typeValue;insurance_typeLabel,yes,no,${accessed_insurance}='1',,,select_one stored as text value/label from reference data for delegation and export fidelity
359,guarantee_coverage,select_one guarantee_coverage,select_one,Guarantee Coverage %,guarantee_coverage,TACATDP_InsuranceGuarantee,guarantee_coverageValue;guarantee_coverageLabel,yes,no,${qualified_guarantee}='1',,,select_one stored as text value/label from reference data for delegation and export fidelity
363,baseline_tech,select_one baseline_tech_list,select_one,Baseline Technology,baseline_tech_list,TACATDP_GHGWaterYield,baseline_techValue;baseline_techLabel,yes,no,,,,select_one stored as text value/label from reference data for delegation and export fidelity
364,other_baseline_tech,text,text,Other Baseline Technology,,TACATDP_GHGWaterYield,other_baseline_tech,yes,no,${baseline_tech}='96',,,scalar input field
365,new_tech,select_one new_tech_list,select_one,New Financed Technology,new_tech_list,TACATDP_GHGWaterYield,new_techValue;new_techLabel,yes,no,,,,select_one stored as text value/label from reference data for delegation and export fidelity
366,other_new_tech,text,text,Other New Financed Technology,,TACATDP_GHGWaterYield,other_new_tech,yes,no,${new_tech}='96',,,scalar input field
367,energy_base,select_one energy_base_list,select_one,Energy Source Baseline,energy_base_list,TACATDP_GHGWaterYield,energy_baseValue;energy_baseLabel,yes,no,,,,select_one stored as text value/label from reference data for delegation and export fidelity
368,other_energy_base,text,text,Other Energy Source Baseline,,TACATDP_GHGWaterYield,other_energy_base,yes,no,${energy_base}='96',,,scalar input field
369,energy_after,select_one energy_after_list,select_one,Energy Source After,energy_after_list,TACATDP_GHGWaterYield,energy_afterValue;energy_afterLabel,yes,no,,,,select_one stored as text value/label from reference data for delegation and export fidelity
370,other_energy_after,text,text,Other Energy Source After,,TACATDP_GHGWaterYield,other_energy_after,yes,no,${energy_after}='96',,,scalar input field
371,base_hours,decimal,decimal,Baseline Hours/year,,TACATDP_GHGWaterYield,base_hours,yes,no,${energy_base}='1',,,scalar input field
372,diesel_rate,decimal,decimal,Diesel Rate (L/hr),,TACATDP_GHGWaterYield,diesel_rate,yes,no,${energy_base}='1',,,scalar input field
378,diesel_proj,decimal,decimal,Project Diesel Use (L/year),,TACATDP_GHGWaterYield,diesel_proj,yes,no,,,,scalar input field
382,lifespan,integer,integer,Lifespan,,TACATDP_GHGWaterYield,lifespan,yes,no,,,,scalar input field
390,crop,select_one crop_name,select_one,Crop Type,crop_name,TACATDP_GHGWaterYield,cropValue;cropLabel,yes,no,,,,select_one stored as text value/label from reference data for delegation and export fidelity
391,area,decimal,decimal,Irrigated Area (Ha),,TACATDP_GHGWaterYield,area,yes,no,,,,scalar input field
392,water_tech,select_one water_tech_list,select_one,Newly Adopted Sustainable Irrigation Technology,water_tech_list,TACATDP_GHGWaterYield,water_techValue;water_techLabel,yes,no,,,,select_one stored as text value/label from reference data for delegation and export fidelity
393,other_water_tech,text,text,Other Newly Adopted Sustainable Irrigation Technology,,TACATDP_GHGWaterYield,other_water_tech,yes,no,${water_tech}='96',,,scalar input field
394,irr_base,select_one irr_base_list,select_one,Baseline Unsustainable Irrigation Practice to Be Replaced,irr_base_list,TACATDP_GHGWaterYield,irr_baseValue;irr_baseLabel,yes,no,,,,select_one stored as text value/label from reference data for delegation and export fidelity
395,other_irr_base,text,text,Other Baseline Unsustainable Irrigation Practice to Be Replaced,,TACATDP_GHGWaterYield,other_irr_base,yes,no,${irr_base}='96',,,scalar input field
396,water_base,decimal,decimal,Water Baseline (m³/year),,TACATDP_GHGWaterYield,water_base,yes,no,,,,scalar input field
397,water_after,decimal,decimal,Water After (m³/year),,TACATDP_GHGWaterYield,water_after,yes,no,,,,scalar input field
404,yield_base,decimal,decimal,Baseline Yield (kg),,TACATDP_GHGWaterYield,yield_base,yes,no,,.>=0,,scalar input field
405,price_base,decimal,decimal,Price Before (TZS/kg),,TACATDP_GHGWaterYield,price_base,yes,no,,.>=0,,scalar input field
408,yield_after1,decimal,decimal,Yield After Intervention (kg),,TACATDP_GHGWaterYield,yield_after1,yes,no,,.>=0,,scalar input field
409,price_after1,decimal,decimal,Price After (TZS/kg),,TACATDP_GHGWaterYield,price_after1,yes,no,,.>=0,,scalar input field
417,quantify_cost,select_one Yes_No,select_one,Would you like to quantify production cost and income?,Yes_No,TACATDP_GHGWaterYield,quantify_costValue;quantify_costLabel,yes,no,,,,select_one stored as text value/label from reference data for delegation and export fidelity
420,reporting_period,select_one reporting_period,select_one,Reporting period,reporting_period,TACATDP_ProductionIncome,reporting_periodValue;reporting_periodLabel,yes,no,${quantify_cost}='1',,,select_one stored as text value/label from reference data for delegation and export fidelity
421,farm_size,decimal,decimal,Cultivated area (Acres),,TACATDP_ProductionIncome,farm_size,yes,no,${quantify_cost}='1',,,scalar input field
422,production_before,decimal,decimal,Production before TACATDP (kg),,TACATDP_ProductionIncome,production_before,yes,no,${quantify_cost}='1',,,scalar input field
423,production_after,decimal,decimal,Production after TACATDP (kg),,TACATDP_ProductionIncome,production_after,yes,no,${quantify_cost}='1',,,scalar input field
428,vc_stages1,select_multiple vc_stages,select_multiple,Select all value chain stages with production costs,vc_stages,TACATDP_MultiSelectAnswers,QuestionName;ChoiceValue,yes,no,${quantify_cost}='1',,,select_multiple child rows
430,vc1_cost_item,select_one cost_item,select_one,Production cost item,cost_item,TACATDP_ProductionCostLines,StageCode;CostItemValue;UnitValue;Quantity;UnitCostTZS,yes,no,,,,normalized production cost line
431,vc1_unit,select_one unit_measure,select_one,Unit of measure,unit_measure,TACATDP_ProductionCostLines,StageCode;CostItemValue;UnitValue;Quantity;UnitCostTZS,yes,no,,,,normalized production cost line
432,vc1_quantity,decimal,decimal,Quantity,,TACATDP_ProductionCostLines,StageCode;CostItemValue;UnitValue;Quantity;UnitCostTZS,yes,no,,,,normalized production cost line
433,vc1_unit_cost,decimal,decimal,Unit cost (TZS),,TACATDP_ProductionCostLines,StageCode;CostItemValue;UnitValue;Quantity;UnitCostTZS,yes,no,,,,normalized production cost line
437,vc2_cost_item,select_one cost_item,select_one,Production cost item,cost_item,TACATDP_ProductionCostLines,StageCode;CostItemValue;UnitValue;Quantity;UnitCostTZS,yes,no,,,,normalized production cost line
438,vc2_unit,select_one unit_measure,select_one,Unit of measure,unit_measure,TACATDP_ProductionCostLines,StageCode;CostItemValue;UnitValue;Quantity;UnitCostTZS,yes,no,,,,normalized production cost line
439,vc2_quantity,decimal,decimal,Quantity,,TACATDP_ProductionCostLines,StageCode;CostItemValue;UnitValue;Quantity;UnitCostTZS,yes,no,,,,normalized production cost line
440,vc2_unit_cost,decimal,decimal,Unit cost (TZS),,TACATDP_ProductionCostLines,StageCode;CostItemValue;UnitValue;Quantity;UnitCostTZS,yes,no,,,,normalized production cost line
444,vc3_cost_item,select_one cost_item,select_one,Production cost item,cost_item,TACATDP_ProductionCostLines,StageCode;CostItemValue;UnitValue;Quantity;UnitCostTZS,yes,no,,,,normalized production cost line
445,vc3_unit,select_one unit_measure,select_one,Unit of measure,unit_measure,TACATDP_ProductionCostLines,StageCode;CostItemValue;UnitValue;Quantity;UnitCostTZS,yes,no,,,,normalized production cost line
446,vc3_quantity,decimal,decimal,Quantity,,TACATDP_ProductionCostLines,StageCode;CostItemValue;UnitValue;Quantity;UnitCostTZS,yes,no,,,,normalized production cost line
447,vc3_unit_cost,decimal,decimal,Unit cost (TZS),,TACATDP_ProductionCostLines,StageCode;CostItemValue;UnitValue;Quantity;UnitCostTZS,yes,no,,,,normalized production cost line
451,vc4_cost_item,select_one cost_item,select_one,Production cost item,cost_item,TACATDP_ProductionCostLines,StageCode;CostItemValue;UnitValue;Quantity;UnitCostTZS,yes,no,,,,normalized production cost line
452,vc4_unit,select_one unit_measure,select_one,Unit of measure,unit_measure,TACATDP_ProductionCostLines,StageCode;CostItemValue;UnitValue;Quantity;UnitCostTZS,yes,no,,,,normalized production cost line
453,vc4_quantity,decimal,decimal,Quantity,,TACATDP_ProductionCostLines,StageCode;CostItemValue;UnitValue;Quantity;UnitCostTZS,yes,no,,,,normalized production cost line
454,vc4_unit_cost,decimal,decimal,Unit cost (TZS),,TACATDP_ProductionCostLines,StageCode;CostItemValue;UnitValue;Quantity;UnitCostTZS,yes,no,,,,normalized production cost line
458,vc5_cost_item,select_one cost_item,select_one,Production cost item,cost_item,TACATDP_ProductionCostLines,StageCode;CostItemValue;UnitValue;Quantity;UnitCostTZS,yes,no,,,,normalized production cost line
459,vc5_unit,select_one unit_measure,select_one,Unit of measure,unit_measure,TACATDP_ProductionCostLines,StageCode;CostItemValue;UnitValue;Quantity;UnitCostTZS,yes,no,,,,normalized production cost line
460,vc5_quantity,decimal,decimal,Quantity,,TACATDP_ProductionCostLines,StageCode;CostItemValue;UnitValue;Quantity;UnitCostTZS,yes,no,,,,normalized production cost line
461,vc5_unit_cost,decimal,decimal,Unit cost (TZS),,TACATDP_ProductionCostLines,StageCode;CostItemValue;UnitValue;Quantity;UnitCostTZS,yes,no,,,,normalized production cost line
465,vc6_cost_item,select_one cost_item,select_one,Production cost item,cost_item,TACATDP_ProductionCostLines,StageCode;CostItemValue;UnitValue;Quantity;UnitCostTZS,yes,no,,,,normalized production cost line
466,vc6_unit,select_one unit_measure,select_one,Unit of measure,unit_measure,TACATDP_ProductionCostLines,StageCode;CostItemValue;UnitValue;Quantity;UnitCostTZS,yes,no,,,,normalized production cost line
467,vc6_quantity,decimal,decimal,Quantity,,TACATDP_ProductionCostLines,StageCode;CostItemValue;UnitValue;Quantity;UnitCostTZS,yes,no,,,,normalized production cost line
468,vc6_unit_cost,decimal,decimal,Unit cost (TZS),,TACATDP_ProductionCostLines,StageCode;CostItemValue;UnitValue;Quantity;UnitCostTZS,yes,no,,,,normalized production cost line
472,vc7_cost_item,select_one cost_item,select_one,Production cost item,cost_item,TACATDP_ProductionCostLines,StageCode;CostItemValue;UnitValue;Quantity;UnitCostTZS,yes,no,,,,normalized production cost line
473,vc7_unit,select_one unit_measure,select_one,Unit of measure,unit_measure,TACATDP_ProductionCostLines,StageCode;CostItemValue;UnitValue;Quantity;UnitCostTZS,yes,no,,,,normalized production cost line
474,vc7_quantity,decimal,decimal,Quantity,,TACATDP_ProductionCostLines,StageCode;CostItemValue;UnitValue;Quantity;UnitCostTZS,yes,no,,,,normalized production cost line
475,vc7_unit_cost,decimal,decimal,Unit cost (TZS),,TACATDP_ProductionCostLines,StageCode;CostItemValue;UnitValue;Quantity;UnitCostTZS,yes,no,,,,normalized production cost line
479,vc8_cost_item,select_one cost_item,select_one,Production cost item,cost_item,TACATDP_ProductionCostLines,StageCode;CostItemValue;UnitValue;Quantity;UnitCostTZS,yes,no,,,,normalized production cost line
480,vc8_unit,select_one unit_measure,select_one,Unit of measure,unit_measure,TACATDP_ProductionCostLines,StageCode;CostItemValue;UnitValue;Quantity;UnitCostTZS,yes,no,,,,normalized production cost line
481,vc8_quantity,decimal,decimal,Quantity,,TACATDP_ProductionCostLines,StageCode;CostItemValue;UnitValue;Quantity;UnitCostTZS,yes,no,,,,normalized production cost line
482,vc8_unit_cost,decimal,decimal,Unit cost (TZS),,TACATDP_ProductionCostLines,StageCode;CostItemValue;UnitValue;Quantity;UnitCostTZS,yes,no,,,,normalized production cost line
486,vc9_cost_item,select_one cost_item,select_one,Production cost item,cost_item,TACATDP_ProductionCostLines,StageCode;CostItemValue;UnitValue;Quantity;UnitCostTZS,yes,no,,,,normalized production cost line
487,vc9_unit,select_one unit_measure,select_one,Unit of measure,unit_measure,TACATDP_ProductionCostLines,StageCode;CostItemValue;UnitValue;Quantity;UnitCostTZS,yes,no,,,,normalized production cost line
488,vc9_quantity,decimal,decimal,Quantity,,TACATDP_ProductionCostLines,StageCode;CostItemValue;UnitValue;Quantity;UnitCostTZS,yes,no,,,,normalized production cost line
489,vc9_unit_cost,decimal,decimal,Unit cost (TZS),,TACATDP_ProductionCostLines,StageCode;CostItemValue;UnitValue;Quantity;UnitCostTZS,yes,no,,,,normalized production cost line
493,vc10_cost_item,select_one cost_item,select_one,Production cost item,cost_item,TACATDP_ProductionCostLines,StageCode;CostItemValue;UnitValue;Quantity;UnitCostTZS,yes,no,,,,normalized production cost line
494,vc10_unit,select_one unit_measure,select_one,Unit of measure,unit_measure,TACATDP_ProductionCostLines,StageCode;CostItemValue;UnitValue;Quantity;UnitCostTZS,yes,no,,,,normalized production cost line
495,vc10_quantity,decimal,decimal,Quantity,,TACATDP_ProductionCostLines,StageCode;CostItemValue;UnitValue;Quantity;UnitCostTZS,yes,no,,,,normalized production cost line
496,vc10_unit_cost,decimal,decimal,Unit cost (TZS),,TACATDP_ProductionCostLines,StageCode;CostItemValue;UnitValue;Quantity;UnitCostTZS,yes,no,,,,normalized production cost line
500,vc11_cost_item,select_one cost_item,select_one,Production cost item,cost_item,TACATDP_ProductionCostLines,StageCode;CostItemValue;UnitValue;Quantity;UnitCostTZS,yes,no,,,,normalized production cost line
501,vc11_unit,select_one unit_measure,select_one,Unit of measure,unit_measure,TACATDP_ProductionCostLines,StageCode;CostItemValue;UnitValue;Quantity;UnitCostTZS,yes,no,,,,normalized production cost line
502,vc11_quantity,decimal,decimal,Quantity,,TACATDP_ProductionCostLines,StageCode;CostItemValue;UnitValue;Quantity;UnitCostTZS,yes,no,,,,normalized production cost line
503,vc11_unit_cost,decimal,decimal,Unit cost (TZS),,TACATDP_ProductionCostLines,StageCode;CostItemValue;UnitValue;Quantity;UnitCostTZS,yes,no,,,,normalized production cost line
507,vc12_cost_item,select_one cost_item,select_one,Production cost item,cost_item,TACATDP_ProductionCostLines,StageCode;CostItemValue;UnitValue;Quantity;UnitCostTZS,yes,no,,,,normalized production cost line
508,vc12_unit,select_one unit_measure,select_one,Unit of measure,unit_measure,TACATDP_ProductionCostLines,StageCode;CostItemValue;UnitValue;Quantity;UnitCostTZS,yes,no,,,,normalized production cost line
509,vc12_quantity,decimal,decimal,Quantity,,TACATDP_ProductionCostLines,StageCode;CostItemValue;UnitValue;Quantity;UnitCostTZS,yes,no,,,,normalized production cost line
510,vc12_unit_cost,decimal,decimal,Unit cost (TZS),,TACATDP_ProductionCostLines,StageCode;CostItemValue;UnitValue;Quantity;UnitCostTZS,yes,no,,,,normalized production cost line
514,vc13_cost_item,select_one cost_item,select_one,Production cost item,cost_item,TACATDP_ProductionCostLines,StageCode;CostItemValue;UnitValue;Quantity;UnitCostTZS,yes,no,,,,normalized production cost line
515,vc13_unit,select_one unit_measure,select_one,Unit of measure,unit_measure,TACATDP_ProductionCostLines,StageCode;CostItemValue;UnitValue;Quantity;UnitCostTZS,yes,no,,,,normalized production cost line
516,vc13_quantity,decimal,decimal,Quantity,,TACATDP_ProductionCostLines,StageCode;CostItemValue;UnitValue;Quantity;UnitCostTZS,yes,no,,,,normalized production cost line
517,vc13_unit_cost,decimal,decimal,Unit cost (TZS),,TACATDP_ProductionCostLines,StageCode;CostItemValue;UnitValue;Quantity;UnitCostTZS,yes,no,,,,normalized production cost line
521,vc14_cost_item,select_one cost_item,select_one,Production cost item,cost_item,TACATDP_ProductionCostLines,StageCode;CostItemValue;UnitValue;Quantity;UnitCostTZS,yes,no,,,,normalized production cost line
522,vc14_unit,select_one unit_measure,select_one,Unit of measure,unit_measure,TACATDP_ProductionCostLines,StageCode;CostItemValue;UnitValue;Quantity;UnitCostTZS,yes,no,,,,normalized production cost line
523,vc14_quantity,decimal,decimal,Quantity,,TACATDP_ProductionCostLines,StageCode;CostItemValue;UnitValue;Quantity;UnitCostTZS,yes,no,,,,normalized production cost line
524,vc14_unit_cost,decimal,decimal,Unit cost (TZS),,TACATDP_ProductionCostLines,StageCode;CostItemValue;UnitValue;Quantity;UnitCostTZS,yes,no,,,,normalized production cost line
528,vc15_cost_item,select_one cost_item,select_one,Production cost item,cost_item,TACATDP_ProductionCostLines,StageCode;CostItemValue;UnitValue;Quantity;UnitCostTZS,yes,no,,,,normalized production cost line
529,vc15_unit,select_one unit_measure,select_one,Unit of measure,unit_measure,TACATDP_ProductionCostLines,StageCode;CostItemValue;UnitValue;Quantity;UnitCostTZS,yes,no,,,,normalized production cost line
530,vc15_quantity,decimal,decimal,Quantity,,TACATDP_ProductionCostLines,StageCode;CostItemValue;UnitValue;Quantity;UnitCostTZS,yes,no,,,,normalized production cost line
531,vc15_unit_cost,decimal,decimal,Unit cost (TZS),,TACATDP_ProductionCostLines,StageCode;CostItemValue;UnitValue;Quantity;UnitCostTZS,yes,no,,,,normalized production cost line
535,vc16_cost_item,select_one cost_item,select_one,Production cost item,cost_item,TACATDP_ProductionCostLines,StageCode;CostItemValue;UnitValue;Quantity;UnitCostTZS,yes,no,,,,normalized production cost line
536,vc16_unit,select_one unit_measure,select_one,Unit of measure,unit_measure,TACATDP_ProductionCostLines,StageCode;CostItemValue;UnitValue;Quantity;UnitCostTZS,yes,no,,,,normalized production cost line
537,vc16_quantity,decimal,decimal,Quantity,,TACATDP_ProductionCostLines,StageCode;CostItemValue;UnitValue;Quantity;UnitCostTZS,yes,no,,,,normalized production cost line
538,vc16_unit_cost,decimal,decimal,Unit cost (TZS),,TACATDP_ProductionCostLines,StageCode;CostItemValue;UnitValue;Quantity;UnitCostTZS,yes,no,,,,normalized production cost line
542,vc17_cost_item,select_one cost_item,select_one,Production cost item,cost_item,TACATDP_ProductionCostLines,StageCode;CostItemValue;UnitValue;Quantity;UnitCostTZS,yes,no,,,,normalized production cost line
543,vc17_unit,select_one unit_measure,select_one,Unit of measure,unit_measure,TACATDP_ProductionCostLines,StageCode;CostItemValue;UnitValue;Quantity;UnitCostTZS,yes,no,,,,normalized production cost line
544,vc17_quantity,decimal,decimal,Quantity,,TACATDP_ProductionCostLines,StageCode;CostItemValue;UnitValue;Quantity;UnitCostTZS,yes,no,,,,normalized production cost line
545,vc17_unit_cost,decimal,decimal,Unit cost (TZS),,TACATDP_ProductionCostLines,StageCode;CostItemValue;UnitValue;Quantity;UnitCostTZS,yes,no,,,,normalized production cost line
549,vc18_cost_item,select_one cost_item,select_one,Production cost item,cost_item,TACATDP_ProductionCostLines,StageCode;CostItemValue;UnitValue;Quantity;UnitCostTZS,yes,no,,,,normalized production cost line
550,vc18_unit,select_one unit_measure,select_one,Unit of measure,unit_measure,TACATDP_ProductionCostLines,StageCode;CostItemValue;UnitValue;Quantity;UnitCostTZS,yes,no,,,,normalized production cost line
551,vc18_quantity,decimal,decimal,Quantity,,TACATDP_ProductionCostLines,StageCode;CostItemValue;UnitValue;Quantity;UnitCostTZS,yes,no,,,,normalized production cost line
552,vc18_unit_cost,decimal,decimal,Unit cost (TZS),,TACATDP_ProductionCostLines,StageCode;CostItemValue;UnitValue;Quantity;UnitCostTZS,yes,no,,,,normalized production cost line
556,qty_sold,decimal,decimal,Quantity sold,,TACATDP_ProductionIncome,qty_sold,yes,no,${quantify_cost}='1',,,scalar input field
557,selling_price,decimal,decimal,Selling price (TZS per unit),,TACATDP_ProductionIncome,selling_price,yes,no,${quantify_cost}='1',,,scalar input field
559,household_consumption,decimal,decimal,Quantity consumed at home,,TACATDP_ProductionIncome,household_consumption,yes,no,${quantify_cost}='1',,,scalar input field
560,baseline_loss,decimal,decimal,Post-harvest loss before TACATDP,,TACATDP_ProductionIncome,baseline_loss,yes,no,${quantify_cost}='1',,,scalar input field
561,current_loss,decimal,decimal,Post-harvest loss after TACATDP,,TACATDP_ProductionIncome,current_loss,yes,no,${quantify_cost}='1',,,scalar input field
567,interventions,select_multiple intervention,select_multiple,TACATDP intervention(s) received,intervention,TACATDP_MultiSelectAnswers,QuestionName;ChoiceValue,yes,no,${quantify_cost}='1',,,select_multiple child rows
568,intervention_other,text,text,Specify other intervention,,TACATDP_ProductionIncome,intervention_other,yes,no,"selected(${interventions}, '96')",,,scalar input field
569,adaptation_result,select_multiple adaptation_result,select_multiple,Expected impact,adaptation_result,TACATDP_MultiSelectAnswers,QuestionName;ChoiceValue,yes,no,${quantify_cost}='1',,,select_multiple child rows
570,adaptation_result_other,text,text,Specify other intervention,,TACATDP_ProductionIncome,adaptation_result_other,yes,no,"selected(${adaptation_result}, '96')",,,scalar input field
571,verification,select_one verification,select_one,Source of verification,verification,TACATDP_ProductionIncome,verificationValue;verificationLabel,yes,no,${quantify_cost}='1',,,select_one stored as text value/label from reference data for delegation and export fidelity
572,verification_other,text,text,Specify other source of verification,,TACATDP_ProductionIncome,verification_other,yes,no,${verification}='96',,,scalar input field
