project_code,instrument_code,version_code,group_code,source_screen,field_code,source_survey_row,display_order,label_en,label_sw,hint_en,data_type,xlsform_type,base_type,required_mode,required_in_app,required_in_dataverse,choice_scheme_code,selection_mode,relevance_expression,constraint_expression,constraint_message,choice_filter,default_value,appearance,answer_storage_table,answer_storage_strategy,source_target_list,source_target_columns,source_file
tacatdp,impact_evaluation,phase3_source_v1,screen_02_agricultural_production,Screen_02_agricultural_production,SDGs,38,24,Applicable SDG Alignment,Malengo Husika ya Maendeleo Endelevu (SDGs) Yanayohusiana,,MultiSelectVocabularyTermRows,select_multiple SDGs,select_multiple,RequiredIfVisible,yes,no,sdgs,Multiple,,,,"selected(${technology}, technology)",,,mp_MultiSelectAnswer,select_multiple child rows,TACATDP_MultiSelectAnswers,QuestionName;ChoiceValue,docs/xlsform-field-inventory.csv;schemas/xlsform-to-list-mapping.csv
tacatdp,impact_evaluation,phase3_source_v1,screen_03_resource_efficiency,Screen_03_resource_efficiency,Uses_Irrigation,42,25,Uses Irrigation?,Unatumia njia za umwagiliaji,,LookupVocabularyTerm,select_one Yes_No,select_one,RequiredIfVisible,yes,no,yes_no,Single,,,,,,,mp_AnswerValue,select_one stored as text value/label from reference data for delegation and export fidelity,TACATDP_ResourceEfficiency,Uses_IrrigationValue;Uses_IrrigationLabel,docs/xlsform-field-inventory.csv;schemas/xlsform-to-list-mapping.csv
tacatdp,impact_evaluation,phase3_source_v1,screen_03_resource_efficiency,Screen_03_resource_efficiency,Irrigation_Type,43,26,Irrigation Type,Aina za umwagiliaji,,MultiSelectVocabularyTermRows,select_multiple Irrigation_Type,select_multiple,RequiredIfVisible,yes,no,irrigation_type,Multiple,${Uses_Irrigation}='1',,,,,,mp_MultiSelectAnswer,select_multiple child rows,TACATDP_MultiSelectAnswers,QuestionName;ChoiceValue,docs/xlsform-field-inventory.csv;schemas/xlsform-to-list-mapping.csv
tacatdp,impact_evaluation,phase3_source_v1,resourceefficiency,,other_Irrigation_Type,44,27,"Please specify the ""other"" Irrigation Type.",Tafadhali aina nyiingine ya umwagiliaji.,,Text,text,text,RequiredIfVisible,yes,no,,,"selected(${Irrigation_Type}, '96')",,,,,,mp_AnswerValue,scalar input field,TACATDP_ResourceEfficiency,other_Irrigation_Type,docs/xlsform-field-inventory.csv;schemas/xlsform-to-list-mapping.csv
tacatdp,impact_evaluation,phase3_source_v1,screen_03_resource_efficiency,Screen_03_resource_efficiency,Water_Source,45,28,Water Source,Chanzo cha maji,,MultiSelectVocabularyTermRows,select_multiple Water_Source,select_multiple,RequiredIfVisible,yes,no,water_source,Multiple,,,,,,,mp_MultiSelectAnswer,select_multiple child rows,TACATDP_MultiSelectAnswers,QuestionName;ChoiceValue,docs/xlsform-field-inventory.csv;schemas/xlsform-to-list-mapping.csv
tacatdp,impact_evaluation,phase3_source_v1,resourceefficiency,,other_Water_Source,46,29,"Please specify the ""other"" Water_Source.",Tafadhali aina nyiingine chanzo cha maji.,,Text,text,text,RequiredIfVisible,yes,no,,,"selected(${Water_Source}, '96')",,,,,,mp_AnswerValue,scalar input field,TACATDP_ResourceEfficiency,other_Water_Source,docs/xlsform-field-inventory.csv;schemas/xlsform-to-list-mapping.csv
tacatdp,impact_evaluation,phase3_source_v1,screen_03_resource_efficiency,Screen_03_resource_efficiency,Energy_Source,47,30,Current Energy Source Used in Production / Processing,Chanzo cha Nishati Kinachotumika Hivi Sasa katika Uzalishaji/Uchakataji,,MultiSelectVocabularyTermRows,select_multiple Energy_Source,select_multiple,RequiredIfVisible,yes,no,energy_source,Multiple,,,,,,,mp_MultiSelectAnswer,select_multiple child rows,TACATDP_MultiSelectAnswers,QuestionName;ChoiceValue,docs/xlsform-field-inventory.csv;schemas/xlsform-to-list-mapping.csv
tacatdp,impact_evaluation,phase3_source_v1,resourceefficiency,,other_Energy_Source,48,31,"Please specify the ""other"" Energy_Source.",Tafadhali aina nyiingine chanzo cha nishati.,,Text,text,text,RequiredIfVisible,yes,no,,,"selected(${Energy_Source}, '96')",,,,,,mp_AnswerValue,scalar input field,TACATDP_ResourceEfficiency,other_Energy_Source,docs/xlsform-field-inventory.csv;schemas/xlsform-to-list-mapping.csv
tacatdp,impact_evaluation,phase3_source_v1,screen_03_resource_efficiency,Screen_03_resource_efficiency,Adopted_Energy,49,32,Adopted Energy Source Diployed (After) ARA Adoption,Chanzo cha Nishati Kilichotumika Baada ya Utekelezaji wa Teknolojia ya ARA,,MultiSelectVocabularyTermRows,select_multiple Adopted_Energy,select_multiple,RequiredIfVisible,yes,no,adopted_energy,Multiple,,,,,,,mp_MultiSelectAnswer,select_multiple child rows,TACATDP_MultiSelectAnswers,QuestionName;ChoiceValue,docs/xlsform-field-inventory.csv;schemas/xlsform-to-list-mapping.csv
tacatdp,impact_evaluation,phase3_source_v1,resourceefficiency,,other_Adopted_Energy,50,33,"Please specify the ""other"" Adopted_Energy.",Tafadhali aina nyiingine chanzo cha nishati kilichotumia.,,Text,text,text,RequiredIfVisible,yes,no,,,"selected(${Adopted_Energy}, '96')",,,,,,mp_AnswerValue,scalar input field,TACATDP_ResourceEfficiency,other_Adopted_Energy,docs/xlsform-field-inventory.csv;schemas/xlsform-to-list-mapping.csv
