survey_row,type,base_type,name,label_en,label_sw,hint_en,required,required_message,relevance,constraint,constraint_message,default,appearance,choice_filter,choice_list,powerapps_control,microsoft_lists_column,microsoft_lists_type,implementation_status,notes
164,integer,integer,postharvest_dm,Direct Male Beneficiaries,Wanufaika wa Kiume wa Moja kwa Moja,,yes,,,,,0,,,,,,,input,
165,integer,integer,postharvest_df,Direct Female Beneficiaries,Wanufaika wa Kike wa Moja kwa Moja,,yes,,,,,0,,,,,,,input,
168,integer,integer,postharvest_dy,Direct Youth (18-35),Vijana wa Moja kwa Moja (18-35),,yes,,,,,0,,,,,,,input,
169,integer,integer,postharvest_im,Indirect Male Beneficiaries,Wanufaika wa Kiume Wasio wa Moja kwa Moja,,yes,,,,,0,,,,,,,input,
170,integer,integer,postharvest_if,Indirect Female Beneficiaries,Wanufaika wa Kike Wasio wa Moja kwa Moja,,yes,,,,,0,,,,,,,input,
173,integer,integer,postharvest_iy,Indirect Youth (18-35),Vijana Wasio wa Moja kwa Moja (18-35),,yes,,,,,0,,,,,,,input,
176,integer,integer,storage_dm,Direct Male Beneficiaries,Wanufaika wa Kiume wa Moja kwa Moja,,yes,,,,,0,,,,,,,input,
177,integer,integer,storage_df,Direct Female Beneficiaries,Wanufaika wa Kike wa Moja kwa Moja,,yes,,,,,0,,,,,,,input,
180,integer,integer,storage_dy,Direct Youth (18-35),Vijana wa Moja kwa Moja (18-35),,yes,,,,,0,,,,,,,input,
181,integer,integer,storage_im,Indirect Male Beneficiaries,Wanufaika wa Kiume Wasio wa Moja kwa Moja,,yes,,,,,0,,,,,,,input,
182,integer,integer,storage_if,Indirect Female Beneficiaries,Wanufaika wa Kike Wasio wa Moja kwa Moja,,yes,,,,,0,,,,,,,input,
185,integer,integer,storage_iy,Indirect Youth (18-35),Vijana Wasio wa Moja kwa Moja (18-35),,yes,,,,,0,,,,,,,input,
188,integer,integer,transport_dm,Direct Male Beneficiaries,Wanufaika wa Kiume wa Moja kwa Moja,,yes,,,,,0,,,,,,,input,
189,integer,integer,transport_df,Direct Female Beneficiaries,Wanufaika wa Kike wa Moja kwa Moja,,yes,,,,,0,,,,,,,input,
192,integer,integer,transport_dy,Direct Youth (18-35),Vijana wa Moja kwa Moja (18-35),,yes,,,,,0,,,,,,,input,
193,integer,integer,transport_im,Indirect Male Beneficiaries,Wanufaika wa Kiume Wasio wa Moja kwa Moja,,yes,,,,,0,,,,,,,input,
194,integer,integer,transport_if,Indirect Female Beneficiaries,Wanufaika wa Kike Wasio wa Moja kwa Moja,,yes,,,,,0,,,,,,,input,
197,integer,integer,transport_iy,Indirect Youth (18-35),Vijana Wasio wa Moja kwa Moja (18-35),,yes,,,,,0,,,,,,,input,
200,integer,integer,processing_dm,Direct Male Beneficiaries,Wanufaika wa Kiume wa Moja kwa Moja,,yes,,,,,0,,,,,,,input,
201,integer,integer,processing_df,Direct Female Beneficiaries,Wanufaika wa Kike wa Moja kwa Moja,,yes,,,,,0,,,,,,,input,
204,integer,integer,processing_dy,Direct Youth (18-35),Vijana wa Moja kwa Moja (18-35),,yes,,,,,0,,,,,,,input,
205,integer,integer,processing_im,Indirect Male Beneficiaries,Wanufaika wa Kiume Wasio wa Moja kwa Moja,,yes,,,,,0,,,,,,,input,
206,integer,integer,processing_if,Indirect Female Beneficiaries,Wanufaika wa Kike Wasio wa Moja kwa Moja,,yes,,,,,0,,,,,,,input,
209,integer,integer,processing_iy,Indirect Youth (18-35),Vijana Wasio wa Moja kwa Moja (18-35),,yes,,,,,0,,,,,,,input,
212,integer,integer,aquaculture_dm,Direct Male Beneficiaries,Wanufaika wa Kiume wa Moja kwa Moja,,yes,,,,,0,,,,,,,input,
213,integer,integer,aquaculture_df,Direct Female Beneficiaries,Wanufaika wa Kike wa Moja kwa Moja,,yes,,,,,0,,,,,,,input,
216,integer,integer,aquaculture_dy,Direct Youth (18-35),Vijana wa Moja kwa Moja (18-35),,yes,,,,,0,,,,,,,input,
217,integer,integer,aquaculture_im,Indirect Male Beneficiaries,Wanufaika wa Kiume Wasio wa Moja kwa Moja,,yes,,,,,0,,,,,,,input,
218,integer,integer,aquaculture_if,Indirect Female Beneficiaries,Wanufaika wa Kike Wasio wa Moja kwa Moja,,yes,,,,,0,,,,,,,input,
221,integer,integer,aquaculture_iy,Indirect Youth (18-35),Vijana Wasio wa Moja kwa Moja (18-35),,yes,,,,,0,,,,,,,input,
224,integer,integer,landing_dm,Direct Male Beneficiaries,Wanufaika wa Kiume wa Moja kwa Moja,,yes,,,,,0,,,,,,,input,
225,integer,integer,landing_df,Direct Female Beneficiaries,Wanufaika wa Kike wa Moja kwa Moja,,yes,,,,,0,,,,,,,input,
228,integer,integer,landing_dy,Direct Youth (18-35),Vijana wa Moja kwa Moja (18-35),,yes,,,,,0,,,,,,,input,
229,integer,integer,landing_im,Indirect Male Beneficiaries,Wanufaika wa Kiume Wasio wa Moja kwa Moja,,yes,,,,,0,,,,,,,input,
230,integer,integer,landing_if,Indirect Female Beneficiaries,Wanufaika wa Kike Wasio wa Moja kwa Moja,,yes,,,,,0,,,,,,,input,
233,integer,integer,landing_iy,Indirect Youth (18-35),Vijana Wasio wa Moja kwa Moja (18-35),,yes,,,,,0,,,,,,,input,
236,integer,integer,aquaponics_dm,Direct Male Beneficiaries,Wanufaika wa Kiume wa Moja kwa Moja,,yes,,,,,0,,,,,,,input,
237,integer,integer,aquaponics_df,Direct Female Beneficiaries,Wanufaika wa Kike wa Moja kwa Moja,,yes,,,,,0,,,,,,,input,
240,integer,integer,aquaponics_dy,Direct Youth (18-35),Vijana wa Moja kwa Moja (18-35),,yes,,,,,0,,,,,,,input,
241,integer,integer,aquaponics_im,Indirect Male Beneficiaries,Wanufaika wa Kiume Wasio wa Moja kwa Moja,,yes,,,,,0,,,,,,,input,
242,integer,integer,aquaponics_if,Indirect Female Beneficiaries,Wanufaika wa Kike Wasio wa Moja kwa Moja,,yes,,,,,0,,,,,,,input,
245,integer,integer,aquaponics_iy,Indirect Youth (18-35),Vijana Wasio wa Moja kwa Moja (18-35),,yes,,,,,0,,,,,,,input,
248,integer,integer,marketing_dm,Direct Male Beneficiaries,Wanufaika wa Kiume wa Moja kwa Moja,,yes,,,,,0,,,,,,,input,
249,integer,integer,marketing_df,Direct Female Beneficiaries,Wanufaika wa Kike wa Moja kwa Moja,,yes,,,,,0,,,,,,,input,
252,integer,integer,marketing_dy,Direct Youth (18-35),Vijana wa Moja kwa Moja (18-35),,yes,,,,,0,,,,,,,input,
253,integer,integer,marketing_im,Indirect Male Beneficiaries,Wanufaika wa Kiume Wasio wa Moja kwa Moja,,yes,,,,,0,,,,,,,input,
254,integer,integer,marketing_if,Indirect Female Beneficiaries,Wanufaika wa Kike Wasio wa Moja kwa Moja,,yes,,,,,0,,,,,,,input,
257,integer,integer,marketing_iy,Indirect Youth (18-35),Vijana Wasio wa Moja kwa Moja (18-35),,yes,,,,,0,,,,,,,input,
260,integer,integer,consumption_dm,Direct Male Beneficiaries,Wanufaika wa Kiume wa Moja kwa Moja,,yes,,,,,0,,,,,,,input,
261,integer,integer,consumption_df,Direct Female Beneficiaries,Wanufaika wa Kike wa Moja kwa Moja,,yes,,,,,0,,,,,,,input,
264,integer,integer,consumption_dy,Direct Youth (18-35),Vijana wa Moja kwa Moja (18-35),,yes,,,,,0,,,,,,,input,
265,integer,integer,consumption_im,Indirect Male Beneficiaries,Wanufaika wa Kiume Wasio wa Moja kwa Moja,,yes,,,,,0,,,,,,,input,
266,integer,integer,consumption_if,Indirect Female Beneficiaries,Wanufaika wa Kike Wasio wa Moja kwa Moja,,yes,,,,,0,,,,,,,input,
269,integer,integer,consumption_iy,Indirect Youth (18-35),Vijana Wasio wa Moja kwa Moja (18-35),,yes,,,,,0,,,,,,,input,
272,integer,integer,training_dm,Direct Male Beneficiaries,Wanufaika wa Kiume wa Moja kwa Moja,,yes,,,,,0,,,,,,,input,
273,integer,integer,training_df,Direct Female Beneficiaries,Wanufaika wa Kike wa Moja kwa Moja,,yes,,,,,0,,,,,,,input,
276,integer,integer,training_dy,Direct Youth (18-35),Vijana wa Moja kwa Moja (18-35),,yes,,,,,0,,,,,,,input,
277,integer,integer,training_im,Indirect Male Beneficiaries,Wanufaika wa Kiume Wasio wa Moja kwa Moja,,yes,,,,,0,,,,,,,input,
278,integer,integer,training_if,Indirect Female Beneficiaries,Wanufaika wa Kike Wasio wa Moja kwa Moja,,yes,,,,,0,,,,,,,input,
281,integer,integer,training_iy,Indirect Youth (18-35),Vijana Wasio wa Moja kwa Moja (18-35),,yes,,,,,0,,,,,,,input,
284,integer,integer,aracsa_dm,Direct Male Beneficiaries,Wanufaika wa Kiume wa Moja kwa Moja,,yes,,,,,0,,,,,,,input,
285,integer,integer,aracsa_df,Direct Female Beneficiaries,Wanufaika wa Kike wa Moja kwa Moja,,yes,,,,,0,,,,,,,input,
288,integer,integer,aracsa_dy,Direct Youth (18-35),Vijana wa Moja kwa Moja (18-35),,yes,,,,,0,,,,,,,input,
289,integer,integer,aracsa_im,Indirect Male Beneficiaries,Wanufaika wa Kiume Wasio wa Moja kwa Moja,,yes,,,,,0,,,,,,,input,
290,integer,integer,aracsa_if,Indirect Female Beneficiaries,Wanufaika wa Kike Wasio wa Moja kwa Moja,,yes,,,,,0,,,,,,,input,
293,integer,integer,aracsa_iy,Indirect Youth (18-35),Vijana Wasio wa Moja kwa Moja (18-35),,yes,,,,,0,,,,,,,input,
296,integer,integer,other_dm,Direct Male Beneficiaries,Wanufaika wa Kiume wa Moja kwa Moja,,yes,,,,,0,,,,,,,input,
297,integer,integer,other_df,Direct Female Beneficiaries,Wanufaika wa Kike wa Moja kwa Moja,,yes,,,,,0,,,,,,,input,
300,integer,integer,other_dy,Direct Youth (18-35),Vijana wa Moja kwa Moja (18-35),,yes,,,,,0,,,,,,,input,
301,integer,integer,other_im,Indirect Male Beneficiaries,Wanufaika wa Kiume Wasio wa Moja kwa Moja,,yes,,,,,0,,,,,,,input,
302,integer,integer,other_if,Indirect Female Beneficiaries,Wanufaika wa Kike Wasio wa Moja kwa Moja,,yes,,,,,0,,,,,,,input,
305,integer,integer,other_iy,Indirect Youth (18-35),Vijana Wasio wa Moja kwa Moja (18-35),,yes,,,,,0,,,,,,,input,
336,select_one Yes_No,select_one,exclusion_screen_passed,Exclusion Screen Passed?,"Je, uchunguzi wa vigezo vya kutengwa umefaulu?",,yes,,,,,,,,Yes_No,,,,input,
337,select_one risk_category,select_one,es_risk_category,E&S Risk Category,Kundi la Hatari za Kimazingira na Kijamii,,yes,,,,,,,,risk_category,,,,input,
338,select_one Yes_No,select_one,disclosure_published,Disclosure Published?,"Je, taarifa imechapishwa?",,yes,,${es_risk_category}=‘B’,,,,,,Yes_No,,,,input,
339,date,date,disclosure_date,Disclosure Date,Tarehe ya Kuchapishwa,,yes,,${disclosure_published}=‘1’,,,,,,,,,,input,
340,select_one Yes_No,select_one,grm_complaint,GRM Complaint?,"Je, kuna malalamiko kupitia GRM?",,yes,,,,,,,,Yes_No,,,,input,
341,select_one Yes_No,select_one,ess_grievance,Is there an ESS related grievance/complaint related to project/farm?,"Je, kuna malalamiko yanayohusiana na ESS katika mradi/shamba?",,yes,,,,,,,,Yes_No,,,,input,
342,text,text,grievance_name,Briefly name the Complaint/Grievance,Taja kwa ufupi malalamiko hayo,,yes,,${ess_grievance}=‘1’,,,,,,,,,,input,
343,select_one grievance_stage,select_one,grievance_stage,What stage of GRM for above Compliant/Grivance?,Malalamiko yako katika hatua gani ya GRM?,,yes,,,,,,,,grievance_stage,,,,input,
344,text,text,grievance_name_other,Other stage of GRM for above Compliant/Grivance?,Malalamiko yako mengine katika hatua gani ya GRM,,yes,,${grievance_stage}=‘96’,,,,,,,,,,input,
345,select_multiple Climate_hazards,select_multiple,Climate_hazards,Climate hazards  affected  farm/business in the past 3–5 years,Majanga ya hali ya hewa yaliyoathiri shamba/biashara katika kipindi cha miaka 3–5 iliyopita,,yes,,,,,,,,Climate_hazards,,,,input,
346,text,text,other_Climate_hazards,"Please specify the ""other"" Climate_hazards.",Tafadhali taja janga lingine la hali ya hewa ambalo halijaorodheshwa hapo juu,,yes,,"selected(${Climate_hazards}, '96')",,,,,,,,,,input,
347,select_one frequently,select_one,frequently,How frequently do these climate events occur,Matukio haya ya hali ya hewa hutokea mara ngapi?,,yes,,,,,,,,frequently,,,,input,
348,select_multiple collateral,select_multiple,collateral,Assets used as collateral for your farming/business loan?,Ni mali zipi zimetumika kama dhamana ya mkopo wako wa kilimo au biashara?,,yes,,,,,,,,collateral,,,,input,
349,text,text,other_collateral,"Please specify the ""other""",Tafadhali taja nyingine,,yes,,"selected(${collateral}, '96')",,,,,,,,,,input,
350,select_one exposure_level,select_one,exposure_level,How exposed is your collateral to climate risks?,Dhamana yako imeathiriwa kwa kiwango gani na hatari za hali ya hewa?,,yes,,,,,,,,exposure_level,,,,input,
354,select_one Yes_No,select_one,accessed_insurance,Accessed TACATDP Insurance,"Je, alinufaika na Bima ya TACATDP?",,yes,,,,,,,,Yes_No,,,,input,
355,select_one insurance_year,select_one,insurance_year,Insurance Year,Mwaka wa Bima,,yes,,${accessed_insurance}='1',,,,,,insurance_year,,,,input,
