survey_row,name,type,required,required_message,relevance,constraint,constraint_message,default,choice_filter
487,vc9_unit,select_one unit_measure,yes,,,,,,
488,vc9_quantity,decimal,yes,,,,,,
489,vc9_unit_cost,decimal,yes,,,,,,
493,vc10_cost_item,select_one cost_item,yes,,,,,,
494,vc10_unit,select_one unit_measure,yes,,,,,,
495,vc10_quantity,decimal,yes,,,,,,
496,vc10_unit_cost,decimal,yes,,,,,,
500,vc11_cost_item,select_one cost_item,yes,,,,,,
501,vc11_unit,select_one unit_measure,yes,,,,,,
502,vc11_quantity,decimal,yes,,,,,,
503,vc11_unit_cost,decimal,yes,,,,,,
507,vc12_cost_item,select_one cost_item,yes,,,,,,
508,vc12_unit,select_one unit_measure,yes,,,,,,
509,vc12_quantity,decimal,yes,,,,,,
510,vc12_unit_cost,decimal,yes,,,,,,
514,vc13_cost_item,select_one cost_item,yes,,,,,,
515,vc13_unit,select_one unit_measure,yes,,,,,,
516,vc13_quantity,decimal,yes,,,,,,
517,vc13_unit_cost,decimal,yes,,,,,,
521,vc14_cost_item,select_one cost_item,yes,,,,,,
522,vc14_unit,select_one unit_measure,yes,,,,,,
523,vc14_quantity,decimal,yes,,,,,,
524,vc14_unit_cost,decimal,yes,,,,,,
528,vc15_cost_item,select_one cost_item,yes,,,,,,
529,vc15_unit,select_one unit_measure,yes,,,,,,
530,vc15_quantity,decimal,yes,,,,,,
531,vc15_unit_cost,decimal,yes,,,,,,
535,vc16_cost_item,select_one cost_item,yes,,,,,,
536,vc16_unit,select_one unit_measure,yes,,,,,,
537,vc16_quantity,decimal,yes,,,,,,
538,vc16_unit_cost,decimal,yes,,,,,,
542,vc17_cost_item,select_one cost_item,yes,,,,,,
543,vc17_unit,select_one unit_measure,yes,,,,,,
544,vc17_quantity,decimal,yes,,,,,,
545,vc17_unit_cost,decimal,yes,,,,,,
549,vc18_cost_item,select_one cost_item,yes,,,,,,
550,vc18_unit,select_one unit_measure,yes,,,,,,
551,vc18_quantity,decimal,yes,,,,,,
552,vc18_unit_cost,decimal,yes,,,,,,
556,qty_sold,decimal,yes,,${quantify_cost}='1',,,,
557,selling_price,decimal,yes,,${quantify_cost}='1',,,,
559,household_consumption,decimal,yes,,${quantify_cost}='1',,,,
560,baseline_loss,decimal,yes,,${quantify_cost}='1',,,,
561,current_loss,decimal,yes,,${quantify_cost}='1',,,,
567,interventions,select_multiple intervention,yes,,${quantify_cost}='1',,,,
568,intervention_other,text,yes,,"selected(${interventions}, '96')",,,,
569,adaptation_result,select_multiple adaptation_result,yes,,${quantify_cost}='1',,,,
570,adaptation_result_other,text,yes,,"selected(${adaptation_result}, '96')",,,,
571,verification,select_one verification,yes,,${quantify_cost}='1',,,,
572,verification_other,text,yes,,${verification}='96',,,,
