ChoiceValue,LabelEn,LabelSw,RegionValue,DistrictValue,SortOrder
289,Mpunguzi,Mpunguzi,3,13,289
290,Matumbulu,Matumbulu,3,13,290
291,Ipala,Ipala,3,13,291
292,Chahwa,Chahwa,3,13,292
293,Chihanga,Chihanga,3,13,293
294,Hombolo Bwawani,Hombolo Bwawani,3,13,294
295,Hombolo Makulu,Hombolo Makulu,3,13,295
296,Makutupora,Makutupora,3,13,296
297,Msalato,Msalato,3,13,297
298,Kikombo,Kikombo,3,13,298
299,Mtumba,Mtumba,3,13,299
300,Ihumwa,Ihumwa,3,13,300
301,Nghong'onha,Nghong'onha,3,13,301
302,Kondoa Mjini,Kondoa Mjini,3,14,302
303,Chemchem,Chemchem,3,14,303
304,Kilimani,Kilimani,3,14,304
305,Serya,Serya,3,14,305
306,Suruke,Suruke,3,14,306
307,Kingale,Kingale,3,14,307
308,Kolo,Kolo,3,14,308
309,Bolisa,Bolisa,3,14,309
310,Bahi,Bahi,3,15,310
311,Ibihwa,Ibihwa,3,15,311
312,Ilindi,Ilindi,3,15,312
313,Kigwe,Kigwe,3,15,313
314,Mpinga,Mpinga,3,15,314
315,Mpamantwa,Mpamantwa,3,15,315
316,Chali,Chali,3,15,316
317,Chikola,Chikola,3,15,317
318,Chipanga,Chipanga,3,15,318
319,Chifutuka,Chifutuka,3,15,319
320,Nondwa,Nondwa,3,15,320
321,Mpalanga,Mpalanga,3,15,321
322,Babayu,Babayu,3,15,322
323,Lamaiti,Lamaiti,3,15,323
324,Makanda,Makanda,3,15,324
325,Msisi,Msisi,3,15,325
326,Mundemu,Mundemu,3,15,326
327,Zanka,Zanka,3,15,327
328,Chibelela,Chibelela,3,15,328
329,Ibugule,Ibugule,3,15,329
330,Mtitaa,Mtitaa,3,15,330
331,Mwitikira,Mwitikira,3,15,331
332,Chilonwa,Chilonwa,3,16,332
333,Buigiri,Buigiri,3,16,333
334,Chamwino,Chamwino,3,16,334
335,Majeleko,Majeleko,3,16,335
336,Manchali,Manchali,3,16,336
337,Msanga,Msanga,3,16,337
338,Msamalo,Msamalo,3,16,338
339,Ikowa,Ikowa,3,16,339
340,Membe,Membe,3,16,340
341,Dabalo,Dabalo,3,16,341
342,Haneti,Haneti,3,16,342
343,Itiso,Itiso,3,16,343
344,Segala,Segala,3,16,344
345,Zajilwa,Zajilwa,3,16,345
346,Handali,Handali,3,16,346
347,Idifu,Idifu,3,16,347
348,Igandu,Igandu,3,16,348
349,Nghahelezi,Nghahelezi,3,16,349
350,Muungano,Muungano,3,16,350
351,Mvumi Makulu,Mvumi Makulu,3,16,351
352,Mvumi Misheni,Mvumi Misheni,3,16,352
353,Fufu,Fufu,3,16,353
354,Chiboli,Chiboli,3,16,354
355,Loje,Loje,3,16,355
356,Iringa Mvumi,Iringa Mvumi,3,16,356
357,Ikombolinga,Ikombolinga,3,16,357
358,Makang'wa,Makang'wa,3,16,358
359,Mlowa Barabarani,Mlowa Barabarani,3,16,359
360,Manzase,Manzase,3,16,360
361,Mlowa Bwawani,Mlowa Bwawani,3,16,361
362,Nhinhi,Nhinhi,3,16,362
363,Chinugulu,Chinugulu,3,16,363
364,Huzi,Huzi,3,16,364
365,Mpwayungu,Mpwayungu,3,16,365
366,Manda,Manda,3,16,366
367,Nghambaku,Nghambaku,3,16,367
368,Goima,Goima,3,17,368
369,Songolo,Songolo,3,17,369
370,Chandama,Chandama,3,17,370
371,Soya,Soya,3,17,371
372,Kimaha,Kimaha,3,17,372
373,Chemba,Chemba,3,17,373
374,Kidoka,Kidoka,3,17,374
375,Mrijo,Mrijo,3,17,375
376,Msaada,Msaada,3,17,376
377,Farkwa,Farkwa,3,17,377
378,Makorongo,Makorongo,3,17,378
379,Babayu,Babayu,3,17,379
380,Gwandi,Gwandi,3,17,380
381,Tumbakose,Tumbakose,3,17,381
